"","reporterDesc","partnerDesc","primaryValue","flowCode"
"515","Antigua and Barbuda","Sweden",348806,"M"
"516","Antigua and Barbuda","Switzerland",1350821,"M"
"517","Antigua and Barbuda","Syria",11120,"M"
"518","Antigua and Barbuda","Thailand",7143759,"M"
"519","Antigua and Barbuda","Tokelau",83483,"M"
"520","Antigua and Barbuda","Trinidad and Tobago",28170955,"M"
"521","Antigua and Barbuda","United Arab Emirates",860247,"M"
"522","Antigua and Barbuda","Tunisia",83024,"M"
"523","Antigua and Barbuda","Turkiye",2644538,"M"
"524","Antigua and Barbuda","Turks and Caicos Isds",11591,"M"
"525","Antigua and Barbuda","Uganda",2133,"M"
"526","Antigua and Barbuda","Ukraine",84609,"M"
"527","Antigua and Barbuda","North Macedonia",408,"M"
"528","Antigua and Barbuda","Egypt",96834,"M"
"529","Antigua and Barbuda","United Kingdom",25967761,"M"
"530","Antigua and Barbuda","United Rep. of Tanzania",3374,"M"
"531","Antigua and Barbuda","USA",358144664,"M"
"532","Antigua and Barbuda","Uruguay",84190,"M"
"533","Antigua and Barbuda","Venezuela",3967,"M"
"534","Antigua and Barbuda","Zambia",738,"M"
"535","Antigua and Barbuda","Areas, nes",299,"M"
"536","Azerbaijan","Afghanistan",34562,"M"
"537","Azerbaijan","Albania",628036,"M"
"538","Azerbaijan","Algeria",1353696,"M"
"539","Azerbaijan","American Samoa",8086,"M"
"540","Azerbaijan","Andorra",730,"M"
"541","Azerbaijan","Angola",1152783,"M"
"542","Azerbaijan","Antigua and Barbuda",482,"M"
"543","Azerbaijan","Azerbaijan",3806259,"M"
"544","Azerbaijan","Argentina",70786082,"M"
"545","Azerbaijan","Australia",1463120999,"M"
"546","Azerbaijan","Austria",87183747,"M"
"547","Azerbaijan","Bahamas",58,"M"
"548","Azerbaijan","Bahrain",35487,"M"
"549","Azerbaijan","Bangladesh",30266407,"M"
"550","Azerbaijan","Barbados",35996,"M"
"551","Azerbaijan","Belgium",69230319,"M"
"552","Azerbaijan","Bolivia (Plurinational State of)",38555,"M"
"553","Azerbaijan","Bosnia Herzegovina",1470839,"M"
"554","Azerbaijan","Brazil",178863157,"M"
