"refYear","reporterDesc","section","flowCode","totalValue"
2021,"Italy","Plastics & rubber","M",97032056692.06
2021,"Italy","Plastics & rubber","X",94382279686.168
2021,"Italy","Prepared foods; beverages; tobacco","M",51456242749.642
2021,"Italy","Prepared foods; beverages; tobacco","X",112122308215.159
2021,"Italy","Vegetable products","M",48564139732.755
2021,"Italy","Vegetable products","X",39259837079.864
2021,"Japan","Animal or vegetable fats & oils","M",4972908897.383
2021,"Japan","Animal or vegetable fats & oils","X",878705168.022
2021,"Japan","Chemicals & allied industries","M",234205428090.022
2021,"Japan","Chemicals & allied industries","X",203604853789.184
2021,"Japan","Hides, skins, leather, furs","M",236093525.376
2021,"Japan","Hides, skins, leather, furs","X",176282742.974
2021,"Japan","Live animals; animal products","M",73825918405.929
2021,"Japan","Live animals; animal products","X",7640450013.82
2021,"Japan","Mineral products","M",572476031535.071
2021,"Japan","Mineral products","X",33540259106.638
2021,"Japan","Plastics & rubber","M",60729804232.203
2021,"Japan","Plastics & rubber","X",107584053567.366
2021,"Japan","Prepared foods; beverages; tobacco","M",80640997548.079
2021,"Japan","Prepared foods; beverages; tobacco","X",17211282215.095
2021,"Japan","Vegetable products","M",68487015352.115
2021,"Japan","Vegetable products","X",3174339783.251
2021,"Mexico","Animal or vegetable fats & oils","M",4495768102
2021,"Mexico","Animal or vegetable fats & oils","X",1189335802
2021,"Mexico","Chemicals & allied industries","M",103871260761
2021,"Mexico","Chemicals & allied industries","X",27959249806
2021,"Mexico","Hides, skins, leather, furs","M",935294310
2021,"Mexico","Hides, skins, leather, furs","X",293871104
2021,"Mexico","Live animals; animal products","M",23209964166
2021,"Mexico","Live animals; animal products","X",14442316082
2021,"Mexico","Mineral products","M",131369289694
2021,"Mexico","Mineral products","X",102983793062
2021,"Mexico","Plastics & rubber","M",108733244797
2021,"Mexico","Plastics & rubber","X",41329403440
2021,"Mexico","Prepared foods; beverages; tobacco","M",22379370772
2021,"Mexico","Prepared foods; beverages; tobacco","X",52507543299
2021,"Mexico","Vegetable products","M",41240832582
2021,"Mexico","Vegetable products","X",53531538076
2021,"Netherlands","Animal or vegetable fats & oils","M",25706681154.645
2021,"Netherlands","Animal or vegetable fats & oils","X",20240395804.915
2021,"Netherlands","Chemicals & allied industries","M",212780924402.74
2021,"Netherlands","Chemicals & allied industries","X",301887636248.126
2021,"Netherlands","Hides, skins, leather, furs","M",363185294.676
2021,"Netherlands","Hides, skins, leather, furs","X",715354930.495
2021,"Netherlands","Live animals; animal products","M",43836111853.127
2021,"Netherlands","Live animals; animal products","X",85437671961.948
2021,"Netherlands","Mineral products","M",273677442924.08
2021,"Netherlands","Mineral products","X",222849997183.799
2021,"Netherlands","Plastics & rubber","M",78882751868.807
2021,"Netherlands","Plastics & rubber","X",105227197956.597
2021,"Netherlands","Prepared foods; beverages; tobacco","M",86849174109.661
2021,"Netherlands","Prepared foods; beverages; tobacco","X",133885853258.71
2021,"Netherlands","Vegetable products","M",83177179392.02
2021,"Netherlands","Vegetable products","X",117440885521.448
2021,"Rep. of Korea","Animal or vegetable fats & oils","M",6729442455
2021,"Rep. of Korea","Animal or vegetable fats & oils","X",418353870
2021,"Rep. of Korea","Chemicals & allied industries","M",164977812069
2021,"Rep. of Korea","Chemicals & allied industries","X",189003745973
2021,"Rep. of Korea","Hides, skins, leather, furs","M",496580517
2021,"Rep. of Korea","Hides, skins, leather, furs","X",358188218
2021,"Rep. of Korea","Live animals; animal products","M",38368139796
2021,"Rep. of Korea","Live animals; animal products","X",5597599281
2021,"Rep. of Korea","Mineral products","M",489686699307
2021,"Rep. of Korea","Mineral products","X",125806635003
2021,"Rep. of Korea","Plastics & rubber","M",51661253525
2021,"Rep. of Korea","Plastics & rubber","X",143257751589
2021,"Rep. of Korea","Prepared foods; beverages; tobacco","M",37392523359
2021,"Rep. of Korea","Prepared foods; beverages; tobacco","X",20872498264
2021,"Rep. of Korea","Vegetable products","M",34277737290
2021,"Rep. of Korea","Vegetable products","X",3267765654
2021,"USA","Animal or vegetable fats & oils","M",30596298702
2021,"USA","Animal or vegetable fats & oils","X",12962085048
2021,"USA","Chemicals & allied industries","M",866379558024
2021,"USA","Chemicals & allied industries","X",614084061710
2021,"USA","Hides, skins, leather, furs","M",643526080
2021,"USA","Hides, skins, leather, furs","X",1934029862
2021,"USA","Live animals; animal products","M",130569787344
2021,"USA","Live animals; animal products","X",108352052880
2021,"USA","Mineral products","M",697224825501
2021,"USA","Mineral products","X",753312545145
2021,"USA","Plastics & rubber","M",351252735123
2021,"USA","Plastics & rubber","X",226623259600
2021,"USA","Prepared foods; beverages; tobacco","M",269342814354
2021,"USA","Prepared foods; beverages; tobacco","X",147264293577
2021,"USA","Vegetable products","M",175113821202
2021,"USA","Vegetable products","X",260861858400
